time_passed,earth_x,earth_y,earth_z,force_factor,
1.249999,0.514636,0.728465,0,1.109118,
1.259999,0.507616,0.722415,0,1.131347,
1.269999,0.500538,0.716281,0,1.154501,
1.279999,0.493401,0.710063,0,1.178631,
1.289999,0.486204,0.70376,0,1.203797,
1.299999,0.478948,0.69737,0,1.230058,
1.309999,0.471631,0.690892,0,1.257482,
1.319999,0.464254,0.684326,0,1.286141,
1.329999,0.456815,0.677669,0,1.31611,
1.339999,0.449315,0.670921,0,1.347476,
1.349999,0.441753,0.664081,0,1.380327,
1.359999,0.434128,0.657146,0,1.414763,
1.369999,0.426441,0.650117,0,1.45089,
1.379999,0.41869,0.64299,0,1.488826,
1.389999,0.410875,0.635765,0,1.528696,
1.399999,0.402995,0.62844,0,1.570639,
1.409999,0.39505,0.621014,0,1.614807,
1.419999,0.38704,0.613485,0,1.661365,
1.429999,0.378964,0.60585,0,1.710495,
1.439999,0.37082,0.598109,0,1.762398,
1.449999,0.36261,0.590259,0,1.817293,
1.459999,0.354331,0.582299,0,1.875423,
1.469999,0.345984,0.574225,0,1.937057,
1.479999,0.337567,0.566037,0,2.002494,
1.489999,0.329081,0.557731,0,2.072064,
1.499999,0.320523,0.549306,0,2.146135,
1.509999,0.311895,0.540759,0,2.22512,
1.519999,0.303194,0.532086,0,2.309479,
1.529999,0.294421,0.523286,0,2.399727,
1.539999,0.285574,0.514355,0,2.496448,
1.549999,0.276653,0.505291,0,2.600298,
1.559999,0.267657,0.496089,0,2.71202,
1.569999,0.258585,0.486747,0,2.832459,
1.579999,0.249437,0.477261,0,2.962579,
1.589999,0.240211,0.467627,0,3.103481,
1.599999,0.230907,0.45784,0,3.256432,
1.609999,0.221524,0.447897,0,3.422892,
1.619999,0.212061,0.437792,0,3.604552,
1.629999,0.202517,0.427521,0,3.80338,
1.639999,0.192892,0.417077,0,4.021679,
1.649999,0.183185,0.406456,0,4.262152,
1.659999,0.173394,0.395651,0,4.527995,
1.669999,0.163521,0.384656,0,4.823005,
1.679999,0.153562,0.373462,0,5.151722,
1.689999,0.143519,0.362061,0,5.519613,
1.699999,0.133391,0.350446,0,5.933299,
1.709999,0.123178,0.338607,0,6.400868,
1.719999,0.112879,0.326533,0,6.932271,
1.729999,0.102495,0.314213,0,7.539864,
1.739999,0.092027,0.301634,0,8.23912,
1.749999,0.081475,0.288782,0,9.049607,
1.759999,0.070842,0.275641,0,9.996331,
1.769999,0.06013,0.262194,0,11.111593,
1.779999,0.049344,0.248421,0,12.437598,
1.789999,0.038488,0.234299,0,14.030138,
1.799999,0.027571,0.219803,0,15.963865,
1.809999,0.016603,0.204904,0,18.339796,
1.819999,0.0056,0.189569,0,21.295994,
1.829999,-0.005418,0.17376,0,25.022348,
1.839999,-0.016419,0.157433,0,29.779854,
1.849999,-0.027361,0.14054,0,35.921513,
1.859999,-0.038183,0.123031,0,43.902115,
1.869999,-0.048798,0.104854,0,54.23494,
1.879999,-0.059084,0.085972,0,67.286934,
1.889999,-0.068882,0.066378,0,82.704895,
1.899999,-0.078003,0.046132,0,98.351768,
1.909999,-0.086268,0.02538,0,109.588013,
1.919999,-0.093574,0.004346,0,111.298378,
1.929999,-0.099919,-0.016733,0,102.564941,
